Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:10:35 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:42 | 7923 | GradleWorkerMain | 877.7MB | 1680.0MB | 2180.0MB
00:10:42 | 7108 | KotlinCompileDaemon | 406.3MB | 2293.5MB | 3404.9MB
00:10:42 | 1924 | GradleDaemon | 2625.7MB | 4028.5MB | 6203.4MB
00:10:42 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:49 | 7923 | GradleWorkerMain | 961.7MB | 1636.0MB | 2180.4MB
00:10:49 | 7108 | KotlinCompileDaemon | 1266.9MB | 2293.5MB | 3431.9MB
00:10:49 | 1924 | GradleDaemon | 3013.1MB | 4056.0MB | 6249.0MB
00:10:49 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:57 | 7923 | GradleWorkerMain | 285.8MB | 1680.0MB | 2181.0MB
00:10:57 | 7108 | KotlinCompileDaemon | 957.1MB | 2324.0MB | 3421.7MB
00:10:57 | 1924 | GradleDaemon | 3038.6MB | 4091.5MB | 6315.8MB
00:10:57 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:11:04 | 7923 | GradleWorkerMain | 389.9MB | 1636.0MB | 2181.6MB
00:11:04 | 7108 | KotlinCompileDaemon | 1129.1MB | 2350.0MB | 3447.9MB
00:11:04 | 1924 | GradleDaemon | 2814.4MB | 4131.5MB | 6349.6MB
00:11:04 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.6MB
00:11:10 | 7923 | GradleWorkerMain | 590.0MB | 1640.0MB | 2182.1MB
